component,event,day,times,country,country_code,city
NeuralNetworkDiagnostics,updateFirmwareVersions,2022-10-16,4,Japan,JPN,
NeuralNetworkDiagnostics,manageResourceAllocation,2024-04-02,7,China,CHN,Shenyang
BloodPressureRegulator,makeBooleanOperationsToFibulaSurgicalGuideBase,2022-10-21,10,Unknown,,Unknown
GastrointestinalTracker,verifyDataIntegrity,2022-02-27,3,Unknown,,Unknown
HospitalRoomAllocationSystem,configureVirtualMachines,2022-06-23,9,United States,USA,
RadiologyImagingCenter,cleanTemporaryFiles,2022-05-29,4,United States,USA,Ashburn
MedicalResearchDatabase,onGenerateFibulaPlanesTimerTimeout,2024-03-26,10,United States,USA,
FertilityAndIVFHelper,scheduleSystemBackups,2024-10-28,8,Japan,JPN,Nishinomiya
HealthcareComplianceMonitor,reportSystemHealthStatus,2020-04-28,3,United States,USA,Batesville
ENTProcedureGuide,analyzeServerPerformance,2020-03-13,5,Colombia,COL,Medellín
DentalHealthProfiler,cleanTemporaryFiles,2024-01-03,9,Unknown,,Unknown
FertilityAndIVFHelper,makeBooleanOperationsToFibulaSurgicalGuideBase,2022-07-04,2,United States,USA,
EndocrineHealthMonitor,auditSecurityCompliance,2020-02-15,5,Brazil,BRA,Barueri
TelemedicineConsultationPortal,initializeSystemDiagnostics,2023-06-30,1,United States,USA,
SleepDisorderAnalyzer,restoreArchivedData,2023-09-25,3,Japan,JPN,
AmbulanceDispatchSystem,auditSecurityCompliance,2020-12-10,1,United States,USA,
RadiologyImagingCenter,restoreArchivedData,2022-09-04,9,United States,USA,
MedicalEducationSimulator,generateEncryptionKeys,2021-07-09,8,United States,USA,
VaccineAdministrationLog,sendFunctionCountToServer,2023-07-02,6,United States,USA,
PatientFeedbackAnalyzer,monitorNetworkLatency,2021-06-23,5,United States,USA,Knoxville
FertilityAndIVFHelper,calculateOptimalPathways,2020-03-10,6,United States,USA,Dallas
WoundCareToolkit,deploySoftwareUpdates,2021-10-03,7,United States,USA,North Charleston
CardiovascularAssessmentTool,validateUserPermissions,2023-05-02,8,Unknown,,Unknown
BloodPressureRegulator,analyzeServerPerformance,2022-08-17,8,Unknown,,Unknown
PatientFeedbackAnalyzer,restoreArchivedData,2019-10-23,6,Unknown,,Unknown
HospitalRoomAllocationSystem,makeBooleanOperationsToFibulaSurgicalGuideBase,2021-12-06,6,United States,USA,
TelemedicineConsultationPortal,verifyDataIntegrity,2019-08-15,3,China,CHN,
SurgicalInstrumentTracker,generateEncryptionKeys,2022-01-26,8,United States,USA,
PulmonaryFunctionTester,manageResourceAllocation,2024-12-14,2,Hong Kong,HKG,
GeriatricCarePlanner,validateUserPermissions,2023-07-25,5,India,IND,Bengaluru
SurgicalInstrumentTracker,onGenerateFibulaPlanesTimerTimeout,2023-12-04,1,China,CHN,
SurgicalInstrumentTracker,scheduleSystemBackups,2024-07-23,9,United States,USA,
RadiologyImagingCenter,updateFirmwareVersions,2024-07-25,10,Spain,ESP,Valencia
HealthcareComplianceMonitor,manageResourceAllocation,2019-11-28,6,Japan,JPN,Kurashiki
RehabilitationExercisePlanner,simulateLoadBalancing,2019-11-19,10,United States,USA,
PatientFeedbackAnalyzer,deploySoftwareUpdates,2022-09-30,4,Latvia,LVA,
HematologyAnalyzer,initializeSystemDiagnostics,2019-06-11,5,United States,USA,
NeuralNetworkDiagnostics,trackApplicationDependencies,2020-03-10,8,United States,USA,
AllergyReactionTracker,reportSystemHealthStatus,2022-07-20,4,China,CHN,
MedicalBillingAndCoding,cleanTemporaryFiles,2019-12-03,7,Tunisia,TUN,Tunis
DermatologyTreatmentPlanner,monitorNetworkLatency,2024-06-24,5,United States,USA,
SportsInjuryPreventor,analyzeServerPerformance,2024-08-26,10,Unknown,,Unknown
DiabetesCareManager,monitorNetworkLatency,2021-02-13,1,United States,USA,
FertilityAndIVFHelper,cleanTemporaryFiles,2019-01-21,3,Germany,DEU,
ENTProcedureGuide,auditSecurityCompliance,2019-05-10,3,United States,USA,
FertilityAndIVFHelper,scheduleSystemBackups,2023-10-16,7,Unknown,,Unknown
MentalHealthTherapyAssistant,updateFirmwareVersions,2024-08-21,6,United States,USA,
NeurosurgeryNavigationSystem,configureVirtualMachines,2022-07-07,7,Unknown,,Unknown
EmergencyResponseCoordinator,archiveOldLogFiles,2023-05-28,9,United States,USA,
RehabilitationExercisePlanner,verifyDataIntegrity,2023-08-08,5,Unknown,,Unknown
BloodPressureRegulator,sendFunctionCountToServer,2021-02-13,1,Canada,CAN,
NeuralNetworkDiagnostics,updateFirmwareVersions,2022-08-18,1,South Korea,KOR,
GeneticDisorderExplorer,scheduleSystemBackups,2023-03-18,8,United Kingdom,GBR,Bingley
OphthalmologyVisionAnalyzer,auditSecurityCompliance,2020-06-04,4,Japan,JPN,Kinuta
PatientEngagementHub,restoreArchivedData,2023-04-19,2,United States,USA,
OncologyTreatmentOptimizer,deploySoftwareUpdates,2020-12-20,6,United States,USA,
HospitalRoomAllocationSystem,restoreArchivedData,2020-01-18,7,United States,USA,
OrthopedicProcedureSimulator,archiveOldLogFiles,2020-06-05,4,United States,USA,
GastrointestinalTracker,trackApplicationDependencies,2024-04-01,6,Unknown,,Unknown
NeurosurgeryNavigationSystem,calculateOptimalPathways,2022-11-16,1,United States,USA,
SleepDisorderAnalyzer,generateEncryptionKeys,2023-08-08,6,United States,USA,
MedicalResearchDatabase,trackApplicationDependencies,2020-05-09,2,Romania,ROU,
NeuralNetworkDiagnostics,sendFunctionCountToServer,2020-03-11,8,Unknown,,Unknown
EmergencyResponseCoordinator,cleanTemporaryFiles,2021-11-02,5,Mexico,MEX,Tizayuca
ENTProcedureGuide,monitorNetworkLatency,2024-01-10,1,Spain,ESP,Madrid
PharmacyInventoryManager,initializeSystemDiagnostics,2023-11-04,5,India,IND,
EmergencyResponseCoordinator,monitorNetworkLatency,2019-05-14,2,Unknown,,Unknown
AllergyReactionTracker,calculateOptimalPathways,2023-12-04,8,China,CHN,
RehabilitationExercisePlanner,manageResourceAllocation,2022-03-17,3,United States,USA,
PulmonaryFunctionTester,reportSystemHealthStatus,2023-04-11,10,Italy,ITA,
ObstetricsLaborTracker,verifyDataIntegrity,2023-01-23,2,China,CHN,
TelemetryExtension,sendFunctionCountToServer,2024-09-24,1,Unknown,,Unknown
TelemetryExtension,logAnEvent,2024-09-24,9,Unknown,,Unknown
TelemetryExtension,logAnEvent,2024-09-25,1,Unknown,,Unknown
